FID,Shape,latitude,longitude,hwmTypeNam,hwmQuality,Uncertainty,approvalMe,markerName,site_no,siteDescri,stateName,hwm_id,waterbody,hwm_qualit,hwm_locati,survey_dat,elev_ft,Flood,hwm_enviro,flag_date,stillwater,Curvature,Altitude,Storm surge,Wind speed,Rain,Soil moisture,Slope_Asp,Impervious,Flow accumulation,TWI,Slope,Distance to river,Distance to storm track,Distance to sea,HAND
83,Point,40.62562,-74.135611,Seed line,Good: +/- 0.10 ,0.1,Ron Busciolano,Nail and HWM tag,NYRIC31255,"Barrett Ave., between Forest Ave. and Decker Ave., Elm Park, Staten Island",NY,40945,Flash flooding,2,Seed line on wooden parking bumper next to entrance of Buck'N'Up Furniture Bed and Bath store.,9/10/2021 4:00,25.3,2.05,Riverine,9/7/2021,1,-1929120000,7.37162,0.772498,34.5617,0.04496,0.392925,336.525,95,0,-5.93363,2.00204,0.000736,0.391555,0.07379,8.89971
84,Point,40.625695,-74.135583,Seed line,Good: +/- 0.10 ,0.1,Ron Busciolano,Marker,NYRIC31255,"Barrett Ave., between Forest Ave. and Decker Ave., Elm Park, Staten Island",NY,40946,Flash flooding,2,Seed line on wall next to Stop and Shop grocery store loading dock. Continuous seed line for ~15 ft. HWM flagging is ink marker.,9/10/2021 4:00,25.3,3.92,Riverine,9/7/2021,1,-5667340000,7.37162,0.772498,34.5617,0.04496,0.392925,226.704,88,51,-2.42187,3.10519,0.000719,0.391619,0.073833,8.74236
224,Point,40.816385,-73.82371,Seed line,Fair: +/- 0.20 ,0.2,Ron Busciolano,Tape,NYBRO31256,"Miles Ave., between Graff Ave. and Balcom Ave., Throgs Neck, Bronx",NY,40947,Flash flooding,3,Seed line along driveway on chain-link fence perpendicular to Miles Ave.,9/27/2021 4:00,10,1.7,Riverine,9/7/2021,1,-500771000,3.46794,2.01715,33.5172,0.124228,0.331936,284.011,51,25,-0.200457,0.168553,0.01549,0.489294,0.062434,3.4679
162,Point,40.737144,-73.846227,Debris,Fair: +/- 0.20 ,0.2,Ron Busciolano,Tape,NYQUE31258,"Intersection of 62nd Dr. and Grand Central Pkwy. service road, Forest Hills, Queens",NY,40949,Flash flooding,3,Horizontal debris line of pine needles and leaf debris along chain link fence.,9/7/2021 4:00,12.4,2.3,Riverine,9/7/2021,0,1010870000,3.74653,1.58975,33.7572,0.119348,0.331936,62.5984,76,0,-3.98991,0.286747,0.000391,0.419288,0.133445,3.8753
85,Point,40.628024,-74.133442,Seed line,Fair: +/- 0.20 ,0.2,Ron Busciolano,Marker,NYRIC31259,"Haughwout Ave., between Cortlandt St. and Dryden Ct., Elm Park,  Staten Island",NY,40950,Flash flooding,3,Seed line on mailbox post.,9/10/2021 4:00,19,1.89,Riverine,9/7/2021,0,1526490000,5.20485,0.772498,34.5617,0.04496,0.392925,337.614,80,68759,6.24425,0.708235,0.000027,0.39327,0.074235,5.68098
86,Point,40.630429,-74.130572,Seed line,Good: +/- 0.10 ,0.1,Ron Busciolano,Marker,NYRIC31260,"Intersection of Post Ave. and Jewett Ave., Port Richmond,  Staten Island",NY,40951,Flash flooding,2,Seed line on garage of 274 Jewett Ave.,9/10/2021 4:00,18.4,2.55,Riverine,9/8/2021,1,-5207120000,4.88057,0.772498,34.5728,0.045157,0.392925,334.888,84,11,-2.36873,0.680131,0.000309,0.394794,0.074207,5.48101
163,Point,40.737636,-73.846662,Seed line,Good: +/- 0.10 ,0.1,Ron Busciolano,Marker,NYQUE31261,"Grand Central Pkwy. service road, between 62nd Dr. and Horace Harding Expy. service road, Forest Hills, Queens",NY,40952,Flash flooding,2,Seed line on building at first ground level balcony from southeast corner of Fairview building.,9/7/2021 4:00,12.4,4.87,Riverine,9/7/2021,0,1146370000,3.94257,1.58975,33.7572,0.119348,0.331936,61.6477,66,0,-4.20643,0.356065,0.000145,0.41988,0.133304,4.01828
87,Point,40.623183,-74.140253,Seed line,Good: +/- 0.10 ,0.1,Ron Busciolano,Marker,NYRIC31262,"Forest Ave., between Crystal Ave. and Marianne St., in Target store parking lot, Westerleigh, Staten Island",NY,40954,Flash flooding,2,Seed line on back of guard rail in southwest corner of Target Store parking lot.,9/10/2021 4:00,27.9,2.14,Riverine,9/8/2021,0,-4922990000,8.2571,0.775393,34.5617,0.04496,0.388148,329.218,92,0,-5.75511,1.67493,0.000554,0.390487,0.07482,8.79486
225,Point,40.833019,-73.833614,Seed line,Good: +/- 0.10 ,0.1,Ron Busciolano,Not marked,NYBRO31263,"Balcom Ave., between Whittemore Ave. and Gifford Ave., in Old St Raymonds Cemetery, Schuylerville, Bronx",NY,40957,Flash flooding,2,Seed line on gravestone.,9/8/2021 4:00,18.2,1.62,Riverine,9/8/2021,1,107101000,8.07622,2.02053,33.4018,0.12238,0.331936,224.969,16,0,-4.26753,0.3785,0.008174,0.508009,0.063734,7.93769
164,Point,40.723025,-73.878299,Seed line,Fair: +/- 0.20 ,0.2,Ron Busciolano,Marker,NYQUE31264,"62nd Ave., between 79th St. and 80th St., Middle Village, Queens",NY,40958,Flash flooding,3,Seed line on grey side wall of garage.,9/8/2021 4:00,94.8,2.95,Riverine,9/8/2021,0,-477804000,30.4804,1.21499,33.3802,0.113231,0.400435,217.894,92,1,-4.11503,0.649907,0.010652,0.414523,0.152001,30.3995
