SiteNumber,SiteLongit,SiteLatitu,Flow accumulation,Distance to sea,Slope,TWI,Curvature,Upstream Area,Altitude,Distance to storm track,Soil moisture,Wind speed,Rain,Storm surge,Mean_Gage_height,Max_Gage_height
1398000,-74.827778,40.473333,878333,0.556637,0.501344,18.316236,-2059870000,65475300,109.46,0.43528,0.428718,27.3923,0.008407,2.13291,3.426463,19.8
1397420,-74.7425,40.501944,7613110,0.471549,0.208936,21.216994,-664314000,469030000,60.4,0.439363,0.428718,27.9522,0.008362,1.88838,6.689451,27.1
1401000,-74.681944,40.333056,1462430,0.437685,1.26195,17.966622,-1171460000,117541000,62.23,0.260336,0.411208,27.0814,0.008822,1.98415,3.162708,18.1
1401650,-74.648889,40.468056,176373,0.378003,2.69528,15.115324,-19202600000,13149800,58.85,0.381061,0.428718,28.2679,0.011358,1.69922,4.686875,14.03
1401750,-74.6175,40.44,5610190,0.349136,14.0667,16.92015,27264600000,453287000,26.52,0.345462,0.430111,28.4742,0.014453,1.66287,5.366979,23.22
1402630,-74.623056,40.506111,292217,0.352436,3.18086,15.457465,8049300000,23075000,41.18,0.410555,0.430111,28.4492,0.010528,1.6259,3.171562,13.16
1402000,-74.575833,40.475,6533990,0.304733,2.04736,18.996189,-19495200000,524666000,26.97,0.367668,0.430111,28.817,0.01594,1.55278,3.114063,20.81
1402500,-74.5875,40.502778,6651550,0.316746,4.43269,18.254765,-12219100000,535716000,24.4,0.397583,0.430111,28.7047,0.013497,1.51936,2.553021,22.48
1405030,-74.412778,40.483056,1353560,0.141529,3.11326,17.011602,11067600000,108447000,0,0.330619,0.430111,30.6318,0.034867,1.21666,16.344479,19.81
1405400,-74.390556,40.389444,1376370,0.148389,1.06965,18.063566,0,103073000,0,0.234505,0.430111,30.6804,0.036854,1.27201,10.061458,15.53
1406050,-74.348889,40.415,521492,0.099543,1.12956,17.041245,0,40889400,1.3,0.247631,0.388148,31.1097,0.040795,1.20355,6.927083,8.43
1407290,-74.214167,40.319722,224303,0.127744,7.8505,14.294891,-17606300000,17293400,80,0.119008,0.377042,31.9934,0.068981,1.18316,11.128489,17.55
1407500,-74.115556,40.319722,1600450,0.117716,7.9433,16.248117,23713200000,125190000,30,0.091917,0.2136,32.5432,0.080186,1.14607,5.255937,6.2
1396500,-74.879167,40.677778,2029020,0.63778,14.4386,15.876021,61710300000,162835000,282.1,0.645976,0.42108,28.0082,0.008748,1.9982,6.970937,10.97
1396582,-74.936944,40.691389,402075,0.696982,6.7566,15.029045,21800000000,31578100,379.1,0.674936,0.42108,27.9491,0.009433,2.07553,3.822669,6.6
