FID,Shape,latitude,longitude,hwmTypeNam,hwmQuality,Uncertainty,hwm_id,elev_,Flood,Type,Mean gauge height,Rain,HAND,Curvature,Soil moisture,Flow accumulation,Slope,Altitude,Storm surge,Distance to river,Distance to storm track,Distance to sea,TWI,Tide,Wind speed
0,Point,29.724094,-85.385657,Seed line,Excellent: +/- 0.05 ,0.05,34662,10.42,4.21,HWMs,0,76.1,1.16826,-1217990000,0.000002,1,2.50935,3.79302,7.11383,0.0002,0.297018,0.000367,-5.93E-11,7.111220182,74.2403
1,Point,29.68365,-85.32219,Debris,VP: > 0.40 ,0.4,34792,10.89,0,HWMs,0,74.9,3.15788,11554100000,0.075505,44,3.74615,10.1773,7.11383,0.001914,0.372058,0.001338,2.378891294,7.104324414,77.6389
2,Point,29.68383,-85.32214,Seed line,Excellent: +/- 0.05 ,0.05,34793,10.96,0,HWMs,0,74.9,2.07677,-5259810000,0.075505,86,1.22596,6.19419,7.11383,0.001749,0.37199,0.001164,0.694848129,7.105559129,77.6389
3,Point,29.7089,-85.37972,Seed line,Excellent: +/- 0.05 ,0.05,34656,10.5,5.69,HWMs,0,75.5,1.446,-1676660000,0.075505,6,1.94619,3.68278,7.11383,0.001613,0.310884,0.001989,-0.306654869,7.099708679,74.3519
4,Point,29.68279,-85.3672,Seed line,Excellent: +/- 0.05 ,0.05,34663,8.05,1.69,HWMs,0,71.5,1.95054,2656620000,0.075505,25,1.14309,5.378,7.11383,0.002747,0.336566,0.00201,0.637247915,7.099559885,75.772
5,Point,29.685,-85.31143,Seed line,Excellent: +/- 0.05 ,0.05,34788,10.91,3.64,HWMs,0,75.1,2.4849,3569220000,0.075505,0,0.864763,8.08288,7.32313,0.002367,0.379856,0.002587,-8.526548552,7.304233947,78.2599
6,Point,29.68494,-85.31142,Seed line,Excellent: +/- 0.05 ,0.05,34789,11.03,3.76,HWMs,0,75.1,2.4849,3569220000,0.075505,1,0.408564,8.17502,7.32313,0.002306,0.3799,0.002526,1.00E-10,7.304678382,78.2599
7,Point,29.701726,-85.305489,Seed line,Excellent: +/- 0.05 ,0.05,34811,10.99,5.82,HWMs,0,78.4,1.46004,-952824000,0.075505,1,0.948815,5.14171,7.32313,0.002927,0.374573,0.008657,3.11E-11,7.260277775,78.874
8,Point,29.685264,-85.315919,Seed line,Excellent: +/- 0.05 ,0.05,34790,10.9,5.51,HWMs,0,74.9,1.31953,-6184070000,0.075505,0,1.90417,3.92646,7.32313,0.001596,0.376106,0.001624,3.462987265,7.311256519,78.2599
9,Point,29.685217,-85.296617,Seed line,Excellent: +/- 0.05 ,0.05,34849,11.42,4.1,HWMs,0,74.9,-9999,-3751040000,0.075505,0,0.985502,6.83404,7.32313,0.001446,0.391576,0.001554,-6.627617521,7.311767513,78.9043
10,Point,29.7178,-85.3041,Seed line,Good: +/- 0.10 ,0.1,34815,12.05,7.92,HWMs,0,81.3,1.07647,-1965690000,0.075505,0,0.584855,3.78158,7.32313,0.000569,0.36604,0.005024,-15.10278273,7.286522511,78.8165
11,Point,29.711957,-85.303043,Seed line,Good: +/- 0.10 ,0.1,34813,10.28,5.59,HWMs,0,80.4,1.56262,4805220000,0.075505,4,1.11365,4.63356,7.32313,0.002698,0.370391,0.007459,0.296153078,7.268911191,78.8165
12,Point,29.738925,-85.393813,Seed line,Excellent: +/- 0.05 ,0.05,34667,10.29,0.98,HWMs,0,76.1,1.92051,-1001600000,0.000002,0,2.26383,7.74753,6.54467,0.003093,0.281595,0.0029,8.304490727,6.525745339,73.2195
